region_code,name_ko,name_en,level,parent_code,lat,lng,population
11,서울특별시,Seoul,sido,,37.5665,126.9780,9700000
21,부산광역시,Busan,sido,,35.1796,129.0756,3300000
22,대구광역시,Daegu,sido,,35.8714,128.6014,2400000
23,인천광역시,Incheon,sido,,37.4563,126.7052,2950000
24,광주광역시,Gwangju,sido,,35.1595,126.8526,1450000
25,대전광역시,Daejeon,sido,,36.3504,127.3845,1450000
26,울산광역시,Ulsan,sido,,35.5384,129.3114,1130000
29,세종특별자치시,Sejong,sido,,36.4800,127.2890,380000
31,경기도,Gyeonggi,sido,,37.4138,127.5183,13700000
32,강원특별자치도,Gangwon,sido,,37.8228,128.1555,1530000
33,충청북도,Chungbuk,sido,,36.6356,127.4914,1600000
34,충청남도,Chungnam,sido,,36.5184,126.8000,2120000
35,전북특별자치도,Jeonbuk,sido,,35.7175,127.1530,1780000
36,전라남도,Jeonnam,sido,,34.8161,126.4630,1810000
37,경상북도,Gyeongbuk,sido,,36.5760,128.5056,2620000
38,경상남도,Gyeongnam,sido,,35.4606,128.2132,3340000
39,제주특별자치도,Jeju,sido,,33.4996,126.5312,675000
1110,서울 강남구,Seoul Gangnam,sigungu,11,37.5172,127.0473,540000
1111,서울 강서구,Seoul Gangseo,sigungu,11,37.5509,126.8495,580000
1112,서울 구로구,Seoul Guro,sigungu,11,37.4954,126.8874,400000
1113,서울 송파구,Seoul Songpa,sigungu,11,37.5145,127.1059,660000
1114,서울 성동구,Seoul Seongdong,sigungu,11,37.5634,127.0367,290000
1115,서울 마포구,Seoul Mapo,sigungu,11,37.5660,126.9018,370000
1116,서울 영등포구,Seoul Yeongdeungpo,sigungu,11,37.5263,126.8965,400000
2110,부산 해운대구,Busan Haeundae,sigungu,21,35.1631,129.1635,400000
2111,부산 부산진구,Busan Busanjin,sigungu,21,35.1622,129.0530,360000
2310,인천 남동구,Incheon Namdong,sigungu,23,37.4493,126.7314,510000
2311,인천 부평구,Incheon Bupyeong,sigungu,23,37.5074,126.7214,510000
3110,경기 수원시,Suwon,sigungu,31,37.2636,127.0286,1190000
3111,경기 성남시,Seongnam,sigungu,31,37.4201,127.1265,940000
3112,경기 용인시,Yongin,sigungu,31,37.2411,127.1776,1100000
3113,경기 고양시,Goyang,sigungu,31,37.6584,126.8320,1080000
3114,경기 안양시,Anyang,sigungu,31,37.3943,126.9568,550000
3115,경기 부천시,Bucheon,sigungu,31,37.5034,126.7660,810000
3116,경기 화성시,Hwaseong,sigungu,31,37.1996,126.8311,920000
3117,경기 남양주시,Namyangju,sigungu,31,37.6360,127.2165,740000
3118,경기 평택시,Pyeongtaek,sigungu,31,36.9920,127.1127,560000
3210,강원 춘천시,Chuncheon,sigungu,32,37.8813,127.7298,290000
3211,강원 원주시,Wonju,sigungu,32,37.3422,127.9202,360000
3310,충북 청주시,Cheongju,sigungu,33,36.6424,127.4890,850000
3410,충남 천안시,Cheonan,sigungu,34,36.8151,127.1139,660000
3411,충남 아산시,Asan,sigungu,34,36.7898,127.0019,330000
3510,전북 전주시,Jeonju,sigungu,35,35.8242,127.1480,650000
3610,전남 여수시,Yeosu,sigungu,36,34.7604,127.6622,280000
3710,경북 포항시,Pohang,sigungu,37,36.0190,129.3435,500000
3711,경북 구미시,Gumi,sigungu,37,36.1196,128.3445,420000
3810,경남 창원시,Changwon,sigungu,38,35.2280,128.6811,1030000
3811,경남 김해시,Gimhae,sigungu,38,35.2342,128.8896,560000
3812,경남 진주시,Jinju,sigungu,38,35.1801,128.1076,350000
3910,제주 제주시,Jeju City,sigungu,39,33.4996,126.5312,490000
3911,제주 서귀포시,Seogwipo,sigungu,39,33.2541,126.5601,180000
