gs1_brick_code,gs1_brick_name_en,kfda_category_path,retail_category_ko,synonyms_ko,domain,demo_sku_examples,verified,notes
10000159,Drinks - Carbonated (Ready to Drink),음료류 > 탄산음료,탄산음료,콜라;사이다;탄산수;제로콜라,beverage,코카콜라 제로;칠성사이다,N,
10000160,Drinks - Non-Carbonated/Still,음료류 > 비탄산음료,무탄산음료,비타민워터;기능성음료,beverage,비타500;토레타,N,
10000245,Coffee - Ready to Drink,음료류 > 커피음료,RTD 커피,캔커피;병커피;콜드브루,beverage,조지아;칸타타;콜드브루,N,콜드브루는 별도 시노님 강조
10000246,Tea - Ready to Drink,음료류 > 차음료,RTD 차,보리차;옥수수수염차;녹차;홍차,beverage,옥수수수염차;17차;립톤,N,
10000247,Energy Drinks,음료류 > 에너지음료,에너지드링크,에너지드링크;박카스;피로회복,beverage,박카스;핫식스;레드불,N,박카스는 의약외품 분류 가능 검수 필요
10000248,Sports Drinks,음료류 > 이온음료,이온음료,스포츠음료;이온음료;운동음료,beverage,포카리스웨트;게토레이,N,
10000300,Fruit/Vegetable Juice,음료류 > 과채음료,주스,과일주스;야채주스;100%주스,beverage,사과주스;토마토주스,N,
10000400,Bottled Water,음료류 > 먹는샘물,생수,생수;물;미네랄워터,beverage,삼다수;아이시스;에비앙,N,먹는샘물 식약처 별도 기준
10000064,Milk - Plain,유가공품류 > 우유류,흰우유,흰우유;저지방우유;멸균우유,dairy,서울우유;매일우유;저지방,N,
10000065,Milk - Flavoured,유가공품류 > 가공유,가공유,초코우유;딸기우유;바나나우유,dairy,서울우유 초코;빙그레 바나나,N,
10000066,Plant-based Milk,콩가공품류 > 두유,식물성음료,두유;아몬드밀크;귀리음료;락토프리,beverage,베지밀;아몬드브리즈;매일귀리,N,두유는 콩가공품 / 식물성음료는 음료류로 이중 분류
10000148,Yogurt,유가공품류 > 발효유,요거트,요거트;떠먹는요거트;마시는요거트;그릭요거트,dairy,요플레;다농;그릭요거트,N,
10000149,Cheese,유가공품류 > 치즈,치즈,슬라이스치즈;크림치즈;모짜렐라,dairy,서울우유 치즈;필라델피아 크림치즈,N,
10000150,Butter,유지류 > 버터,버터,버터;무염버터;가염버터,dairy,서울우유 버터;앵커버터,N,
10000604,Snacks - Salty,과자류 > 스낵과자,봉지과자,과자;스낵;감자칩;새우깡,snack,새우깡;포카칩;꼬깔콘,N,
10000605,Cookies/Biscuits,과자류 > 비스킷,쿠키/비스킷,쿠키;비스킷;크래커;홈런볼,snack,홈런볼;에이스;초코칩쿠키,N,
10000606,Chocolate Confectionery,과자류 > 초콜릿류,초콜릿,초콜릿;초코바;다크초콜릿,snack,가나초콜릿;킷캣;페레로로쉐,N,
10000607,Sugar Confectionery,과자류 > 캔디류,사탕/젤리,사탕;캔디;젤리;마이쮸,snack,마이쮸;젤리;하리보,N,
10000228,Cereal/Muesli Bars,과자류 > 시리얼바,시리얼바/단백질바,시리얼바;단백질바;그래놀라바;에너지바,snack,퀘이커 그래놀라바;마이프로틴 바,N,단백질바는 건강기능식품 표시 가능 별도 검수
10000229,Nuts and Seeds - Processed,견과류가공품,견과,견과;아몬드;호두;믹스넛,snack,길림양행 미니넛;아몬드,N,
10000700,Bread/Buns,빵류,빵,빵;식빵;소금빵;크루아상,bakery,파리바게뜨;뚜레쥬르 빵,N,
10000701,Cakes/Pastries,빵류 > 케이크,케이크/페이스트리,케이크;파운드;마들렌;카스테라,bakery,롯데 카스테라;파운드,N,
10000702,Donuts,빵류 > 도넛,도넛,도넛;던킨,bakery,던킨도넛;크리스피크림,N,
10000800,Instant Noodles - Cup,면류 > 유탕면(컵),컵라면,컵라면;사발면;용기면,instant,신라면컵;진라면컵;육개장,N,
10000801,Instant Noodles - Pack,면류 > 유탕면(봉지),봉지라면,봉지라면;라면;인스턴트,instant,신라면;진라면;안성탕면,N,
10000802,Pasta/Noodles - Dry,면류 > 건면,파스타/건면,파스타;스파게티;마카로니,grocery,바릴라 스파게티;오뚜기 파스타,N,
10000900,Ready Meals - Refrigerated,즉석조리식품 > 도시락,편의점 도시락,도시락;편의점도시락;가정간편식;HMR,instant,CU 백종원 도시락;GS25 김혜자,N,
10000901,Sushi/Kimbap - Refrigerated,즉석섭취식품 > 김밥류,김밥/삼각김밥,삼각김밥;김밥;참치마요;전주비빔,instant,참치마요 삼각김밥;전주비빔 김밥,N,
10000902,Sandwiches/Wraps - Refrigerated,즉석섭취식품 > 샌드위치,샌드위치,샌드위치;햄치즈;BLT;랩,instant,햄치즈 샌드위치;클럽 샌드위치,N,
10000903,Frozen Dumplings,냉동식품 > 만두류,냉동만두,만두;교자;물만두;군만두,frozen,비비고 왕교자;고향만두,N,
10000904,Hot Dogs/Sausage Snacks,즉석섭취식품 > 핫도그,핫도그,핫도그;소시지;콘도그,instant,바프 핫도그;CU 핫도그,N,
10001000,Ice Cream,빙과류,아이스크림,아이스크림;빙과;바;콘,frozen,메로나;월드콘;빵빠레,N,
10001100,Sauces/Condiments,조미식품 > 소스류,소스/양념,소스;케첩;마요네즈;고추장;간장,condiment,오뚜기 케첩;CJ 고추장;샘표 간장,N,
10001101,Cooking Oils,유지류 > 식용유,식용유,식용유;올리브유;카놀라유;포도씨유,condiment,오뚜기 카놀라유;올리타리아 올리브유,N,
10001200,Breakfast Cereals,시리얼류,시리얼,시리얼;콘프로스트;뮤즐리;그래놀라,grocery,농심 켈로그 콘프로스트;포스트 그래놀라,N,
10001201,Oats/Porridge,곡류가공품 > 오트밀,오트밀,오트밀;귀리;포리지,grocery,퀘이커 오트밀;3분 죽,N,
10001300,Vitamins/Supplements,건강기능식품 > 비타민,비타민,비타민;멀티비타민;종합비타민;비타민C,health,센트룸;솔가;비타민C,N,건강기능식품 인증마크 별도 표시
10001301,Probiotics,건강기능식품 > 프로바이오틱스,유산균,유산균;프로바이오틱스;장건강,health,락토핏;프로바이오틱스,N,
10001400,Baby Food - Infant,영유아식품 > 이유식,이유식,이유식;아기이유식;유아식,baby,베베쿡 이유식;매일 맘마밀,N,영유아식품은 식약처 별도 기준
10001401,Children's Snacks,어린이기호식품,어린이 간식,어린이간식;아기과자;유아과자,baby,베베;뽀로로;떡뻥,N,어린이기호식품 별도 기준
10001500,Gluten-Free Foods,특수식품 > 글루텐프리,글루텐프리,글루텐프리;무첨가;알레르기프리,grocery,글루텐프리 쿠키;무글루텐 빵,N,글루텐프리는 카테고리 아닌 라벨 - cross-cut tag 검토
